interval_begin,interval_end,interval_id,edge_arrived,edge_density,edge_departed,edge_entered,edge_id,edge_laneChangedFrom,edge_laneChangedTo,edge_left,edge_occupancy,edge_overlapTraveltime,edge_sampledSeconds,edge_speed,edge_traveltime,edge_waitingTime
0.00,500.00,d2,0,,0,0,-147702341#10,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-147702341#11,0,0,0,,,0.00,,,
0.00,500.00,d2,0,7.66,0,1,-147702341#12,0,0,1,0.15,0.77,0.77,6.79,0.03,0.00
0.00,500.00,d2,0,1.03,0,3,-147702341#13,0,0,3,0.42,3.17,9.50,7.38,2.35,0.00
0.00,500.00,d2,0,0.64,0,3,-147702341#14,0,0,3,0.22,1.19,3.58,13.53,0.81,0.00
0.00,500.00,d2,0,0.50,0,3,-147702341#15,0,0,3,0.22,2.81,8.43,13.88,2.45,0.00
0.00,500.00,d2,0,0.67,0,4,-147702341#16,0,0,4,0.31,6.74,26.98,12.74,6.07,0.00
0.00,500.00,d2,0,0.93,1,4,-147702341#17,0,0,5,0.44,5.83,28.69,11.42,5.38,0.00
0.00,500.00,d2,0,1.09,1,4,-147702341#18,0,0,5,0.48,3.77,18.36,10.27,3.19,0.00
0.00,500.00,d2,0,0.83,0,4,-147702341#19,0,0,4,0.30,1.40,5.60,13.16,1.02,0.00
0.00,500.00,d2,0,8.41,0,2,-147702341#2,0,0,2,0.16,0.42,0.84,12.36,0.02,0.00
0.00,500.00,d2,0,8.45,0,4,-147702341#20,0,0,4,0.31,0.41,1.65,13.08,0.03,0.00
0.00,500.00,d2,0,0.87,0,4,-147702341#21,0,0,4,0.36,2.86,11.44,10.99,2.47,0.00
0.00,500.00,d2,1,0.62,0,3,-147702341#3,0,0,2,0.27,4.72,14.01,10.70,4.32,0.00
0.00,500.00,d2,0,0.85,0,4,-147702341#4,0,0,4,0.40,12.96,51.85,9.80,11.95,3.00
0.00,500.00,d2,0,16.19,0,4,-147702341#5,0,0,4,0.31,0.40,1.62,12.85,0.02,0.00
0.00,500.00,d2,0,1.78,0,4,-147702341#6,0,0,4,0.32,0.61,2.44,12.68,0.22,0.00
0.00,500.00,d2,1,1.00,2,3,-147702341#7,0,0,4,0.48,8.12,39.61,10.41,7.72,0.00
0.00,500.00,d2,0,0.91,0,5,-147702341#8,0,0,5,0.42,6.31,31.57,11.72,5.62,0.00
0.00,500.00,d2,0,1.14,4,2,-147702341#9,0,0,6,0.55,14.47,84.88,10.64,13.90,0.00
0.00,500.00,d2,0,,0,0,-147702357#0,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-147702357#1,0,0,0,,,0.00,,,
0.00,500.00,d2,0,0.85,0,3,-147702357#10,0,0,3,0.36,4.40,13.19,8.19,3.75,0.00
0.00,500.00,d2,0,0.40,0,2,-147702357#11,0,0,2,0.15,1.37,2.75,13.71,1.01,0.00
0.00,500.00,d2,0,3.02,0,2,-147702357#12,0,0,2,0.15,0.42,0.83,13.36,0.04,0.00
0.00,500.00,d2,0,7.78,0,2,-147702357#13,0,0,2,0.15,0.39,0.78,13.37,0.01,0.00
0.00,500.00,d2,0,7.75,0,2,-147702357#14,0,0,2,0.15,0.39,0.78,13.42,0.01,0.00
0.00,500.00,d2,0,0.40,0,2,-147702357#15,0,0,2,0.18,5.19,10.38,10.89,4.79,0.00
0.00,500.00,d2,0,1.20,2,4,-147702357#2,0,0,6,0.57,13.24,78.42,10.22,12.25,0.00
0.00,500.00,d2,0,0.59,1,2,-147702357#3,0,0,3,0.28,12.78,37.86,10.35,11.82,0.00
0.00,500.00,d2,2,0.80,0,5,-147702357#4,0,0,2,0.38,10.77,51.30,12.36,10.24,0.00
0.00,500.00,d2,0,0.62,0,5,-147702357#5,0,0,4,0.30,9.66,39.62,13.68,9.29,0.00
0.00,500.00,d2,0,2.03,0,9,-147702357#6,0,0,9,0.84,2.85,25.68,10.62,2.29,0.00
0.00,500.00,d2,0,0.94,0,4,-147702357#7,0,0,4,0.42,4.39,17.55,9.61,3.72,0.00
0.00,500.00,d2,0,0.77,0,4,-147702357#8,0,0,4,0.32,2.62,10.46,12.27,2.23,0.00
0.00,500.00,d2,0,0.53,1,2,-147702357#9,0,0,3,0.25,11.22,33.22,11.69,10.82,0.00
0.00,500.00,d2,0,,0,0,-174866949#0,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-174866949#1,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-174866951,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-194355275#0,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-194355275#1,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-194359151#0,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-194359151#1,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-194359151#2,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-194359151#3,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-194359151#4,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-194359151#5,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-194359151#6,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-194359152#0,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-194359152#1,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-194359152#2,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-194359152#3,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-194359152#4,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-194517537,0,0,0,,,0.00,,,
0.00,500.00,d2,0,3.52,2,34,-200628207,10,10,35,0.83,4.07,142.90,21.18,3.79,0.00
0.00,500.00,d2,0,,0,0,-202272026#0,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-202272026#1,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-202272027#0,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-202272027#1,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-202272028#0,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-202272028#1,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-237288711,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-237288929#0,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-237288929#1,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-237289363#0,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-237289363#1,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-237289364#0,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-237289364#1,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-237289364#2,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-237289364#3,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-237289365#0,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-237289365#1,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-237289365#2,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-237289365#3,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-237289365#4,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-237290011#0,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-237290011#1,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-237290012,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-237290014#0,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-237290014#1,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-237290162,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-237290265,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-237290266,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-237290267#0,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-237290267#1,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-237290267#2,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-237291285,0,0,0,,,0.00,,,
0.00,500.00,d2,0,1.78,1,5,-237296531#0,0,0,6,0.79,6.48,38.19,7.40,5.53,1.00
0.00,500.00,d2,0,11.12,0,4,-237296531#1,0,0,4,0.29,0.39,1.56,13.57,0.02,0.00
0.00,500.00,d2,0,0.71,0,4,-237296531#2,0,0,4,0.32,4.62,18.49,12.41,4.26,0.00
0.00,500.00,d2,0,,0,0,-237296531#3,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-237297557#0,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-237297557#1,0,0,0,,,0.00,,,
